"filename", "language", "Solidity", "Markdown", "JSON", "HTML", "Python", "JavaScript", "TypeScript", "XML", "CSS", "SCSS", "JSON with Comments", "TypeScript JSX", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\TerminateTimer.sol", "Solidity", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 31
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\Test.sol", "Solidity", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 29
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\TimerV1s.sol", "Solidity", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 15, 150
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\__Bytes.sol", "Solidity", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 21, 61
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\__Match.sol", "Solidity", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\Sync.py", "Python", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\__init__.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\main.js", "JavaScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\css\animations\enter\flickerInAnimation.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 3, 77
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\css\button29.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 3, 44
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\css\button30.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 3, 44
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\css\everything.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\css\init.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
